"weight","lat1","lng1","lat2","lng2"
0.149885277811514,39.77,-104.87,38.57,-121.47
0.149835777174674,30.31,-97.75,33.54,-112.07
0.149798513163076,37.53,-77.47,34.04,-80.89
0.149017259761574,42.34,-71.02,44.32,-69.77
0.146726411010486,37.53,-77.47,30.45,-91.13
0.146303779312445,30.45,-91.13,33.76,-84.42
0.145867159774159,42.34,-71.02,39.78,-89.64
0.145681749007942,40.78,-111.93,44.92,-123.02
0.14379172246333,30.31,-97.75,35.68,-105.95
0.143711503611035,37.53,-77.47,40.22,-74.76
0.142268863570514,36.17,-86.78,38.57,-92.19
0.141910607575809,40.28,-76.88,35.82,-78.66
0.141127497454832,37.53,-77.47,32.35,-86.28
0.141078644337,35.68,-105.95,40.82,-96.69
0.139237618056291,42.71,-84.55,39.78,-89.64
0.137662472975437,38.35,-81.63,34.04,-80.89
0.136911344124138,41.58,-93.62,39.78,-86.15
0.135355397133095,38.57,-92.19,39.78,-86.15
0.135113341048014,47.04,-122.89,38.57,-121.47
0.135045637131856,30.31,-97.75,35.47,-97.51
0.134314546092414,40.78,-111.93,39.15,-119.74
0.133778274627464,35.82,-78.66,32.35,-86.28
0.133205119775571,47.04,-122.89,46.6,-112.03
0.132029819909124,38.91,-77.02,41.77,-72.68
0.130953628773719,43.08,-89.39,39.78,-86.15
0.130946367050973,40.28,-76.88,38.57,-121.47
0.130651092364266,44.37,-100.34,44.95,-93.1
0.129856277663497,39.99,-82.99,38.98,-76.49
0.127980551168141,38.57,-92.19,30.45,-91.13
0.127378521649939,43.61,-116.23,32.35,-86.28
0.12696961866662,42.34,-71.02,38.91,-77.02
0.125395055639142,30.45,-91.13,30.46,-84.28
0.124466425270099,41.15,-104.79,46.81,-100.77
0.123901798046047,35.82,-78.66,30.46,-84.28
0.122964778099552,44.92,-123.02,33.54,-112.07
0.122946068547543,30.31,-97.75,39.77,-104.87
0.122930530863619,37.53,-77.47,33.76,-84.42
