"AL","AZ","AR","CA","CO","CT","DE","DC","FL","GA","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
0.00307337687283903,0.00241422196210403,0.0025062656641604,0.00171681188033821,0.00247366741142675,0.00243087207535703,0.00111700642278693,0.00311203319502075,0.00286928799149841,0.00304102620811678,0.00108695652173913,0.0099290780141844,0.0133504218733312,0.00326481257557437,0.00123808344682432,0.00443458980044346,0.00427490956922065,0.000664982045484772,0.00357764455617869,0.00199232585596222,1,0.00235462735462735,0.00556070435588508,0.00266134397870925,0.000872219799389446,0.00168241232043484,0.00166154357398023,0.000278202809848379,0.00194741966893866,0.0014317323961994,0.00252257036643654,0.0030963175937189,0.00128309809868191,0.0144383057090239,0.000753498385360603,0.000797766254487435,0.00612898732413985,0.000895942659669781,0.00187863986473793,0.000895255147717099,0.00381711765204852,0.00253314862457946,0.00073764445537251,0.000752558699578567,0.00263090893660358,0.000973126731042743,0.00189118417224324,0.00326290888326943,0.000297397769516729
0.0021932830705963,0.00570939194975735,0.00266514372739387,0.00248065092280214,0.00479488545551412,0.00266824785057812,0.000495662949194548,0.00201088242252188,0.00152700897117771,0.00220367278797997,0.00236686390532544,0.0177875243664717,0.012265052564511,0.0223718075628588,0.00324017820980154,0.00366703337000367,0.00320300419703998,0.000683682771194166,0.003601108033241,0.00413342305104297,0.00235462735462735,1,0.00108283703302653,0.00678794461037198,0.00240448837830617,0.00743494423791822,0.00314748201438849,0.000493096646942801,0.00195715994345982,0.0032996040475143,0.00514933058702369,0.00193591455273698,0.0341491178144565,0.00263901979264844,0.0016249593760156,0.00203222528668892,0.00301445163578331,0.000426894343649947,0.00226184140500266,0.0093167701863354,0.00415464512406232,0.00166975044000181,0.00300480769230769,0.000569151963574274,0.00311994453431939,0.00274214082851826,0.000533049040511727,0.0160736060303736,0.00167224080267559
0.0385259631490787,0.00211909302818394,0.0116845180136319,0.00131095962244363,0.00289330922242315,0.00230496453900709,0.000683994528043776,0.00231513005583549,0.00681302043906132,0.00849056603773585,0.0368403584467308,0.00307422046552481,0.00286861732644865,0.00197775030902349,0.0026089225150013,0.00483648088438508,0.0365362111558965,0.00367197062423501,0.00425601571451956,0.00128713933283278,0.00556070435588508,0.00108283703302653,1,0.00558213716108453,0.00113722517058378,0.00258101519931173,0.00102498398462524,0.000339443312966735,0.000864517722613314,0.00290697674418605,0.00146882820150147,0.00404565814188701,0.000461041954817888,0.00389884088514225,0.00257936507936508,0.00086400552963539,0.00225955398369191,0.00111982082866741,0.00642532518414042,0.000812347684809098,0.0219469503164131,0.00596374045801527,0.00128501670521717,0,0.0041119511871601,0.000986950323500384,0.00189537528430629,0.00223964165733483,0
0.00673736743605739,0.00354390006201825,0.0139683608212723,0.00234281616065025,0.00871287128712871,0.00146451870589802,0.000417275192989777,0.00304314748396913,0.00322266812598808,0.00407591389631894,0.00462776659959759,0.0118014313994213,0.00965223562810504,0.0123076923076923,0.0423357664233577,0.00435132957292506,0.00912633305988515,0.000972006220839813,0.00351053159478435,0.0227293473299863,0.00266134397870925,0.00678794461037198,0.00558213716108453,1,0.00110987791342952,0.0155214840053,0.00269262634631317,0,0.00180813661476645,0.00453257790368272,0.003662641061176,0.00401171676006113,0.00371807306821856,0.00538156153506837,0.0155516431924883,0.00156883252712773,0.00441005158928274,0.000367444424030865,0.00229690522243714,0.00115526802218115,0.0101452370781717,0.00737294830158869,0.00313206890551592,0.000234027615258601,0.00361509835194046,0.002461257976299,0.00133155792276964,0.00506380392951185,0.00138057984353428
0.00113636363636364,0.00183030461498235,0.00254777070063694,0.00104154611734753,0.00384674565317741,0.00155763239875389,0.000884955752212389,0.000179726815240834,0.00038971161340608,0.000496031746031746,0.0145038167938931,0.00145666423889294,0.00145180023228804,0.00444839857651246,0.00146699266503667,0.000779423226812159,0.000647983152438037,0.000673854447439353,0.00207804202262757,0.0006635700066357,0.000872219799389446,0.00240448837830617,0.00113722517058378,0.00110987791342952,1,0.00472533963378618,0.00149775336994508,0,0.00063441712926249,0.0060790273556231,0.000722804481387785,0.000330605835192991,0.0208584035298837,0.000906148867313916,0.000921658986175115,0.0124113475177305,0.00119090151244492,0.000561797752808989,0.000865239022279905,0.0151745068285281,0.00138240884741662,0.000414894720464682,0.00478240076518412,0,0.00104004160166407,0.0094988986784141,0.00236406619385343,0.00127959053103007,0.0207715133531157
0.0019047619047619,0.0031798374749735,0.005314160675211,0.001213257596647,0.00819784123514141,0.00148746281342966,0.000503778337531486,0.00124766063630692,0.00124332626343889,0.000772379701861435,0.00552486187845304,0.00517935929407251,0.00678362573099415,0.0359400998336106,0.0125566794558772,0.00381231671554252,0.00342465753424658,0.00128369704749679,0.00250868390582787,0.00190953574412221,0.00168241232043484,0.00743494423791822,0.00258101519931173,0.0155214840053,0.00472533963378618,1,0.0023333819454572,0.000498504486540379,0.00111794298490777,0.0100603621730382,0.001605412533685,0.00139103554868624,0.0119047619047619,0.0018667600046669,0.0066079295154185,0.00372362432767894,0.00248944690983873,0.000759301442672741,0.000912908526565638,0.016,0.00316789862724393,0.00188988909335057,0.00441726129799524,0,0.00181323662737987,0.00232586607907945,0.00294464075382803,0.00494350282485876,0.0131319763624425
0.00188304215922168,0.0143839405674544,0.00132925694536754,0.0219655282186548,0.00758097863542385,0.00255356944598646,0.000476190476190476,0.0057137504683402,0.00317548746518106,0.00208840932822833,0.0043256604356558,0.00420766881574483,0.00197582519758252,0.00229326858222042,0.00180380185930346,0.0015527950310559,0.00247327974560551,0.000601232526679693,0.00401097741186405,0.00228652527004652,0.00166154357398023,0.00314748201438849,0.00102498398462524,0.00269262634631317,0.00149775336994508,0.0023333819454572,1,0.000316355583676052,0.00446194225721785,0.00441371193173459,0.00382435607980464,0.00197204338495447,0.00455610518094246,0.00217458838148493,0.00142551674982181,0.00857991420085799,0.00369576465370685,0.000863682164963294,0.000919305413687436,0.000685283536063046,0.00201005025125628,0.0049297510475721,0.00957801221543587,0.000346020761245675,0.00256433739353421,0.00822381681851165,0.000332336324360253,0.00184032950661642,0.00205198358413133
0.000424718623911659,0.000125502008032129,0,0.000227246903760936,0.000439431668375568,0.0136319376825706,0.00139372822299652,0.0010230179028133,0.000532967869651287,0.000403128275417238,0,0.000201430154094068,0,0.000390167772142021,0,0.000348068221371389,0.000308594352723345,0.0135823429541596,0.000861697544161999,0.0224133437581444,0.000278202809848379,0.000493096646942801,0.000339443312966735,0,0,0.000498504486540379,0.000316355583676052,1,0.00257653834495302,0,0.00118343195266272,0.000645109265381824,0.000350877192982456,0.000497883993029624,0,0,0.00149425287356322,0.0126152353226589,0.000405597241938755,0,0.000491964578550344,0.000102072062876391,0.000415627597672485,0.0223214285714286,0.00148221343873518,0.000392875851231011,0,0,0
0.00304940028461069,0.00267359254449622,0.000639467962655071,0.00765825586542718,0.00511487506288781,0.0186885245901639,0.0136817832436587,0.0196948682385576,0.00389532012947825,0.00337027304924026,0.00191768697448001,0.00466107337861233,0.00134831460674157,0.00142671854734112,0.00039957378795951,0.00124672734073058,0.00422741782417393,0.00230813618003462,0.0195527821112845,0.0163357823979991,0.00194741966893866,0.00195715994345982,0.000864517722613314,0.00180813661476645,0.00063441712926249,0.00111794298490777,0.00446194225721785,0.00257653834495302,1,0.00182969739619986,0.0321178120617111,0.00693608483806248,0.00187664206180408,0.0063300793166565,0.00103305785123967,0.00211864406779661,0.0384845762204253,0.00374116668976029,0.003181547027242,0.00032626427406199,0.00329738882452544,0.00255164034021871,0.00251822398939695,0.000329435018942514,0.0102481121898598,0.00305714509680959,0.000951625693893735,0.00111016225448335,0.00065072393037254
0.00404390525707683,0.0146107784431138,0.00539169045353631,0.00560861839182585,0.0141059327893791,0.00214730513205927,0,0.00362147693276649,0.00102714600146735,0.00124079100426522,0.00659133709981168,0.00278712157616531,0.00282618935468676,0.00491480996068152,0.00386507378777231,0.00207715133531157,0.00561393407226141,0.000436109899694723,0.00389939559368298,0.000959117611797147,0.0014317323961994,0.0032996040475143,0.00290697674418605,0.00453257790368272,0.0060790273556231,0.0100603621730382,0.00441371193173459,0,0.00182969739619986,1,0.00132183908045977,0.00178446737528125,0.00389105058365759,0.00128956623681125,0.0076808721506442,0.00649214659685864,0.00261096605744125,0.000386249517188104,0.00184297825285662,0.00203389830508475,0.00456343170063888,0.0102538326212616,0.00518134715025907,0,0.00258870108116339,0.00320354854608181,0.00241984271022384,0.00056617126680821,0.00808080808080808
